date,action,price,quantity,pnl
2025-02-25 13:10:00+05:30,BUY,22592.75,100,
2025-02-25 14:50:00+05:30,SELL,22572.9,100,-1984.9999999998545
2025-03-05 09:20:00+05:30,BUY,22176.8,100,
2025-03-05 09:50:00+05:30,SELL,22251.0,100,7420.000000000073
2025-03-05 11:35:00+05:30,BUY,22329.8,100,
2025-03-05 12:35:00+05:30,SELL,22388.75,100,5895.000000000073
2025-03-06 11:05:00+05:30,BUY,22413.1,100,
2025-03-06 11:30:00+05:30,SELL,22352.6,100,-6050.0
2025-03-06 14:40:00+05:30,BUY,22539.0,100,
2025-03-07 09:40:00+05:30,SELL,22497.3,100,-4170.000000000073
2025-03-07 10:05:00+05:30,BUY,22584.9,100,
2025-03-07 11:50:00+05:30,SELL,22565.05,100,-1985.0000000002183
2025-03-10 09:45:00+05:30,BUY,22652.45,100,
2025-03-10 10:30:00+05:30,SELL,22613.9,100,-3854.9999999999272
2025-03-13 09:55:00+05:30,BUY,22529.25,100,
2025-03-13 11:00:00+05:30,SELL,22489.55,100,-3970.0000000000728
2025-03-17 09:30:00+05:30,BUY,22566.1,100,
2025-03-17 10:15:00+05:30,SELL,22500.5,100,-6559.9999999998545
2025-03-18 09:25:00+05:30,BUY,22644.25,100,
2025-03-18 10:05:00+05:30,SELL,22739.5,100,9525.0
2025-03-18 14:55:00+05:30,BUY,22804.55,100,
2025-03-18 15:15:00+05:30,SELL,22849.7,100,4515.0000000001455
2025-03-18 15:15:00+05:30,BUY,22849.7,100,
2025-03-19 09:25:00+05:30,SELL,22848.95,100,-75.0
2025-03-19 10:15:00+05:30,BUY,22899.35,100,
2025-03-19 11:55:00+05:30,SELL,22904.45,100,510.0000000002183
2025-03-20 09:25:00+05:30,BUY,23065.2,100,
2025-03-20 09:50:00+05:30,SELL,23027.55,100,-3765.0000000001455
2025-03-20 12:40:00+05:30,BUY,23093.7,100,
2025-03-20 13:15:00+05:30,SELL,23156.3,100,6259.9999999998545
2025-03-20 13:15:00+05:30,BUY,23156.3,100,
2025-03-20 14:05:00+05:30,SELL,23186.65,100,3035.0000000002183
