date,action,price,pnl
2025-02-20 09:15:00+05:30,BUY,22857.1,
2025-02-20 09:25:00+05:30,SELL,22847.0,-10.099999999998545
2025-02-20 09:30:00+05:30,BUY,22866.9,
2025-02-20 09:45:00+05:30,SELL,22825.2,-41.70000000000073
2025-02-20 09:50:00+05:30,BUY,22857.85,
2025-02-20 10:05:00+05:30,SELL,22880.25,22.400000000001455
2025-02-20 10:05:00+05:30,BUY,22880.25,
2025-02-20 10:15:00+05:30,SELL,22887.3,7.049999999999272
2025-02-20 10:15:00+05:30,BUY,22887.3,
2025-02-20 10:25:00+05:30,SELL,22880.5,-6.799999999999272
2025-02-20 10:30:00+05:30,BUY,22893.0,
2025-02-20 10:40:00+05:30,SELL,22883.2,-9.799999999999272
2025-02-20 10:45:00+05:30,BUY,22885.4,
2025-02-20 10:55:00+05:30,SELL,22887.2,1.7999999999992724
2025-02-20 10:55:00+05:30,BUY,22887.2,
2025-02-20 11:25:00+05:30,SELL,22904.35,17.149999999997817
2025-02-20 11:25:00+05:30,BUY,22904.35,
2025-02-20 11:40:00+05:30,SELL,22903.6,-0.75
2025-02-20 11:40:00+05:30,BUY,22903.6,
2025-02-20 11:50:00+05:30,SELL,22893.35,-10.25
2025-02-20 11:50:00+05:30,BUY,22893.35,
2025-02-20 12:10:00+05:30,SELL,22889.1,-4.25
2025-02-20 12:15:00+05:30,BUY,22892.9,
2025-02-20 12:35:00+05:30,SELL,22905.55,12.649999999997817
2025-02-20 12:35:00+05:30,BUY,22905.55,
2025-02-20 12:45:00+05:30,SELL,22896.3,-9.25
2025-02-20 12:50:00+05:30,BUY,22904.2,
2025-02-20 13:00:00+05:30,SELL,22876.4,-27.799999999999272
2025-02-20 13:05:00+05:30,BUY,22885.1,
2025-02-20 13:15:00+05:30,SELL,22885.7,0.6000000000021828
2025-02-20 13:15:00+05:30,BUY,22885.7,
2025-02-20 13:25:00+05:30,SELL,22883.75,-1.9500000000007276
2025-02-20 13:30:00+05:30,BUY,22891.0,
2025-02-20 13:40:00+05:30,SELL,22906.0,15.0
2025-02-20 13:40:00+05:30,BUY,22906.0,
2025-02-20 14:00:00+05:30,SELL,22906.9,0.9000000000014552
2025-02-20 14:15:00+05:30,BUY,22902.8,
2025-02-20 14:30:00+05:30,SELL,22903.65,0.8500000000021828
2025-02-20 14:35:00+05:30,BUY,22910.5,
2025-02-20 14:55:00+05:30,SELL,22911.65,1.1500000000014552
2025-02-20 14:55:00+05:30,BUY,22911.65,
2025-02-20 15:05:00+05:30,SELL,22914.45,2.7999999999992724
2025-02-20 15:05:00+05:30,BUY,22914.45,
2025-02-20 15:25:00+05:30,SELL,22906.25,-8.200000000000728
2025-02-21 09:15:00+05:30,BUY,22906.6,
2025-02-21 09:30:00+05:30,SELL,22889.1,-17.5
2025-02-21 09:55:00+05:30,BUY,22813.65,
2025-02-21 10:10:00+05:30,SELL,22760.65,-53.0
2025-02-21 10:15:00+05:30,BUY,22766.3,
2025-02-21 10:30:00+05:30,SELL,22790.35,24.049999999999272
2025-02-21 10:30:00+05:30,BUY,22790.35,
2025-02-21 10:40:00+05:30,SELL,22789.2,-1.1499999999978172
2025-02-21 10:40:00+05:30,BUY,22789.2,
2025-02-21 10:50:00+05:30,SELL,22762.6,-26.600000000002183
2025-02-21 10:55:00+05:30,BUY,22777.25,
2025-02-21 11:10:00+05:30,SELL,22767.95,-9.299999999999272
2025-02-21 11:10:00+05:30,BUY,22767.95,
2025-02-21 11:20:00+05:30,SELL,22752.0,-15.950000000000728
2025-02-21 11:25:00+05:30,BUY,22764.95,
2025-02-21 11:45:00+05:30,SELL,22792.95,28.0
2025-02-21 11:50:00+05:30,BUY,22798.75,
2025-02-21 12:00:00+05:30,SELL,22785.5,-13.25
2025-02-21 12:10:00+05:30,BUY,22786.3,
2025-02-21 12:45:00+05:30,SELL,22814.0,27.700000000000728
