date,action,price,quantity,pnl
2025-02-25 10:10:00+05:30,BUY,22597.5,100,
2025-02-25 10:25:00+05:30,SELL,22576.15,100,-2134.9999999998545
2025-02-25 13:10:00+05:30,BUY,22592.75,100,
2025-02-25 15:10:00+05:30,SELL,22553.35,100,-3940.0000000001455
2025-02-27 14:30:00+05:30,BUY,22549.7,100,
2025-02-28 09:15:00+05:30,SELL,22322.05,100,-22765.000000000146
2025-03-03 13:10:00+05:30,BUY,22154.8,100,
2025-03-04 09:25:00+05:30,SELL,22001.6,100,-15320.000000000073
2025-03-04 14:20:00+05:30,BUY,22090.9,100,
2025-03-10 12:50:00+05:30,SELL,22588.7,100,49779.99999999993
2025-03-11 13:40:00+05:30,BUY,22473.55,100,
2025-03-12 10:15:00+05:30,SELL,22428.85,100,-4470.000000000073
2025-03-12 14:15:00+05:30,BUY,22459.3,100,
2025-03-13 11:55:00+05:30,SELL,22432.4,100,-2689.9999999997817
2025-03-17 09:30:00+05:30,BUY,22566.1,100,
2025-03-17 13:00:00+05:30,SELL,22464.85,100,-10125.0
2025-03-17 13:50:00+05:30,BUY,22486.15,100,
2025-03-21 12:45:00+05:30,SELL,23378.35,100,89219.99999999971
2025-03-21 12:45:00+05:30,BUY,23378.35,100,
2025-03-25 11:55:00+05:30,SELL,23710.05,100,33170.00000000007
2025-03-25 13:50:00+05:30,BUY,23732.8,100,
2025-03-25 15:10:00+05:30,SELL,23670.3,100,-6250.0
2025-03-27 10:25:00+05:30,BUY,23617.8,100,
2025-03-28 09:30:00+05:30,SELL,23543.25,100,-7454.999999999927
2025-03-28 10:50:00+05:30,BUY,23624.05,100,
2025-03-28 12:25:00+05:30,SELL,23529.3,100,-9475.0
2025-03-28 14:55:00+05:30,BUY,23591.5,100,
2025-03-28 15:05:00+05:30,SELL,23528.75,100,-6275.0
2025-04-02 10:25:00+05:30,BUY,23267.35,100,
2025-04-03 09:50:00+05:30,SELL,23245.2,100,-2214.9999999997817
2025-04-03 10:35:00+05:30,BUY,23289.45,100,
2025-04-03 11:20:00+05:30,SELL,23269.2,100,-2025.0
2025-04-03 11:50:00+05:30,BUY,23291.3,100,
2025-04-03 12:30:00+05:30,SELL,23267.3,100,-2400.0
2025-04-07 15:15:00+05:30,BUY,22173.55,100,
2025-04-09 09:40:00+05:30,SELL,22467.85,100,29429.999999999927
2025-04-11 09:15:00+05:30,BUY,22765.2,100,
2025-04-16 13:50:00+05:30,SELL,23314.85,100,54964.99999999978
2025-04-16 14:00:00+05:30,BUY,23402.75,100,
2025-04-22 14:50:00+05:30,SELL,24171.4,100,76865.00000000015
2025-04-23 09:15:00+05:30,BUY,24313.5,100,
2025-04-23 11:00:00+05:30,SELL,24174.35,100,-13915.000000000146
2025-04-23 11:45:00+05:30,BUY,24247.25,100,
2025-04-24 11:45:00+05:30,SELL,24267.65,100,2040.0000000001455
2025-04-25 09:20:00+05:30,BUY,24303.6,100,
2025-04-25 09:45:00+05:30,SELL,24168.8,100,-13479.999999999927
2025-04-25 13:50:00+05:30,BUY,24120.1,100,
2025-04-29 12:30:00+05:30,SELL,24329.95,100,20985.00000000022
2025-04-29 12:55:00+05:30,BUY,24358.95,100,
2025-04-29 15:25:00+05:30,SELL,24325.45,100,-3350.0
2025-04-30 09:45:00+05:30,BUY,24381.55,100,
2025-04-30 10:40:00+05:30,SELL,24321.2,100,-6034.9999999998545
2025-04-30 12:30:00+05:30,BUY,24359.85,100,
2025-04-30 13:20:00+05:30,SELL,24333.15,100,-2669.999999999709
2025-04-30 13:45:00+05:30,BUY,24346.6,100,
2025-04-30 13:55:00+05:30,SELL,24347.1,100,50.0
2025-04-30 13:55:00+05:30,BUY,24347.1,100,
2025-04-30 14:10:00+05:30,SELL,24340.65,100,-644.999999999709
2025-04-30 14:50:00+05:30,BUY,24376.7,100,
2025-05-02 09:15:00+05:30,SELL,24410.5,100,3379.9999999999272
2025-05-02 09:20:00+05:30,BUY,24403.65,100,
2025-05-02 11:45:00+05:30,SELL,24338.3,100,-6535.000000000218
2025-05-05 09:20:00+05:30,BUY,24447.05,100,
2025-05-06 09:55:00+05:30,SELL,24391.65,100,-5539.999999999782
2025-05-07 11:35:00+05:30,BUY,24413.55,100,
2025-05-07 12:05:00+05:30,SELL,24377.7,100,-3584.9999999998545
2025-05-07 12:05:00+05:30,BUY,24377.7,100,
2025-05-07 13:20:00+05:30,SELL,24361.9,100,-1579.9999999999272
2025-05-07 14:10:00+05:30,BUY,24406.9,100,
2025-05-08 13:20:00+05:30,SELL,24355.55,100,-5135.000000000218
2025-05-12 09:15:00+05:30,BUY,24561.4,100,
2025-05-13 10:30:00+05:30,SELL,24663.3,100,10189.999999999782
2025-05-14 09:50:00+05:30,BUY,24706.15,100,
2025-05-14 12:25:00+05:30,SELL,24662.25,100,-4390.0000000001455
2025-05-15 10:50:00+05:30,BUY,24704.65,100,
2025-05-19 12:05:00+05:30,SELL,24987.95,100,28329.999999999927
2025-05-21 10:15:00+05:30,BUY,24892.8,100,
2025-05-21 12:20:00+05:30,SELL,24760.25,100,-13254.999999999927
2025-05-21 15:15:00+05:30,BUY,24811.45,100,
