date,open,high,low,close,volume
2025-02-20 09:15:00+05:30,22821.1,22871.4,22813.95,22857.1,0
2025-02-20 09:20:00+05:30,22857.2,22870.25,22842.9,22856.4,0
2025-02-20 09:25:00+05:30,22855.25,22880.55,22841.55,22847.0,0
2025-02-20 09:30:00+05:30,22846.3,22872.95,22841.75,22866.9,0
2025-02-20 09:35:00+05:30,22867.75,22895.9,22867.75,22891.15,0
2025-02-20 09:40:00+05:30,22891.05,22898.1,22872.6,22881.25,0
2025-02-20 09:45:00+05:30,22881.1,22881.1,22812.75,22825.2,0
2025-02-20 09:50:00+05:30,22825.45,22868.4,22823.4,22857.85,0
2025-02-20 09:55:00+05:30,22859.55,22890.55,22850.8,22883.05,0
2025-02-20 10:00:00+05:30,22884.45,22885.75,22863.6,22874.7,0
2025-02-20 10:05:00+05:30,22874.2,22883.2,22858.85,22880.25,0
2025-02-20 10:10:00+05:30,22880.1,22885.1,22867.35,22873.75,0
2025-02-20 10:15:00+05:30,22873.8,22900.65,22868.4,22887.3,0
2025-02-20 10:20:00+05:30,22887.2,22909.75,22875.1,22885.95,0
2025-02-20 10:25:00+05:30,22885.95,22893.95,22873.7,22880.5,0
2025-02-20 10:30:00+05:30,22880.05,22895.4,22874.75,22893.0,0
2025-02-20 10:35:00+05:30,22892.95,22904.6,22891.55,22891.7,0
2025-02-20 10:40:00+05:30,22891.55,22894.25,22879.75,22883.2,0
2025-02-20 10:45:00+05:30,22884.25,22890.1,22877.35,22885.4,0
2025-02-20 10:50:00+05:30,22885.1,22887.15,22875.1,22881.35,0
2025-02-20 10:55:00+05:30,22880.95,22887.6,22876.15,22887.2,0
2025-02-20 11:00:00+05:30,22888.35,22901.85,22887.9,22899.85,0
2025-02-20 11:05:00+05:30,22900.6,22911.45,22896.45,22910.0,0
2025-02-20 11:10:00+05:30,22909.75,22913.05,22902.6,22911.3,0
2025-02-20 11:15:00+05:30,22911.2,22914.1,22905.3,22912.55,0
2025-02-20 11:20:00+05:30,22912.9,22913.95,22897.95,22902.85,0
2025-02-20 11:25:00+05:30,22903.2,22906.6,22895.0,22904.35,0
2025-02-20 11:30:00+05:30,22904.4,22910.4,22902.2,22908.8,0
2025-02-20 11:35:00+05:30,22909.0,22909.0,22897.5,22899.5,0
2025-02-20 11:40:00+05:30,22899.8,22906.05,22898.0,22903.6,0
2025-02-20 11:45:00+05:30,22903.45,22905.9,22879.05,22890.6,0
2025-02-20 11:50:00+05:30,22890.95,22895.0,22886.1,22893.35,0
2025-02-20 11:55:00+05:30,22893.95,22898.7,22887.55,22896.5,0
2025-02-20 12:00:00+05:30,22896.15,22900.75,22894.1,22896.65,0
2025-02-20 12:05:00+05:30,22897.95,22903.95,22892.45,22894.95,0
2025-02-20 12:10:00+05:30,22894.8,22898.2,22888.65,22889.1,0
2025-02-20 12:15:00+05:30,22888.5,22893.0,22884.75,22892.9,0
