date,open,high,low,close,volume,Close,macd,rsi,ema_20,ema_50,target
2025-05-14 13:20:00+05:30,24621.6,24635.05,24616.8,24635.05,0,24635.05,-19.615632740631554,46.22140818732805,24640.810465570004,24684.884000000005,1
2025-05-14 13:25:00+05:30,24634.9,24660.95,24633.9,24644.95,0,24644.95,-16.941133842956333,48.964780556977395,24641.204706944292,24683.31796078432,0
2025-05-14 13:30:00+05:30,24644.55,24646.45,24639.15,24644.7,0,24644.7,-14.672610389301553,48.89694669043907,24641.537591997214,24681.80353094964,0
2025-05-14 13:35:00+05:30,24644.65,24648.0,24631.5,24634.9,0,24634.9,-13.50983434567388,46.19528384343619,24640.905440378432,24679.964176794754,0
2025-05-14 13:40:00+05:30,24634.7,24647.85,24625.35,24628.5,0,24628.5,-12.95541055826834,44.46734184599633,24639.723969866198,24677.945973783197,0
2025-05-14 13:45:00+05:30,24628.55,24635.75,24614.7,24623.4,0,24623.4,-12.780230547527026,43.084330464566115,24638.169306069416,24675.806915987778,1
2025-05-14 13:50:00+05:30,24622.95,24631.5,24620.45,24629.95,0,24629.95,-11.974830475894123,45.43169664458013,24637.386515015187,24674.008605556883,0
2025-05-14 13:55:00+05:30,24629.7,24638.2,24619.5,24621.8,0,24621.8,-11.857496169330261,43.05240643406869,24635.902085013742,24671.961209260535,0
2025-05-14 14:00:00+05:30,24618.9,24620.0,24596.75,24601.05,0,24601.05,-13.285710075368115,37.64661190384196,24632.58283882196,24669.18037752483,1
2025-05-14 14:05:00+05:30,24599.95,24615.25,24599.95,24615.25,0,24615.25,-13.120513448178826,42.92791139275011,24630.932092267485,24667.06546075915,0
2025-05-14 14:10:00+05:30,24614.95,24616.35,24598.9,24615.0,0,24615.0,-12.861507390429324,42.859084213068044,24629.41475014677,24665.02367798428,1
2025-05-14 14:15:00+05:30,24614.55,24618.7,24605.65,24618.4,0,24618.4,-12.24078746039595,44.17010806778017,24628.365726323267,24663.195298455485,1
2025-05-14 14:20:00+05:30,24617.1,24633.0,24614.5,24629.75,0,24629.75,-10.709559168088163,48.424237350525225,24628.49756191153,24661.8837181239,0
2025-05-14 14:25:00+05:30,24628.55,24630.3,24609.1,24611.2,0,24611.2,-10.867604703536927,42.6978277004712,24626.850175062813,24659.89612133473,0
2025-05-14 14:30:00+05:30,24609.8,24618.2,24577.7,24586.15,0,24586.15,-12.865872804490209,36.432336215338935,24622.973967913975,24657.004116576503,1
2025-05-14 14:35:00+05:30,24585.05,24599.0,24584.95,24586.55,0,24586.55,-14.252939005473308,36.59233918382987,24619.505018588832,24654.24121004409,1
2025-05-14 14:40:00+05:30,24585.0,24665.65,24585.0,24625.55,0,24625.55,-12.06613401757204,49.84722658190238,24620.080731104183,24653.116064552163,1
2025-05-14 14:45:00+05:30,24624.95,24636.55,24618.4,24633.55,0,24633.55,-9.577142827423813,52.0610008591137,24621.36351861807,24652.34876790306,0
2025-05-14 14:50:00+05:30,24633.05,24637.7,24624.15,24632.95,0,24632.95,-7.5658005237201,51.87605217412103,24622.466993035396,24651.58803190686,1
2025-05-14 14:55:00+05:30,24633.05,24642.05,24629.45,24633.25,0,24633.25,-5.879810963568161,51.96793295957548,24623.493946079645,24650.86889340071,1
2025-05-14 15:00:00+05:30,24633.3,24667.05,24632.25,24659.8,0,24659.8,-2.3739238613015914,59.36258121451775,24626.95166550063,24651.219132875194,1
2025-05-14 15:05:00+05:30,24659.8,24673.4,24658.6,24673.4,0,24673.4,1.484807331202319,62.54363450236591,24631.37531640533,24652.088970801655,0
2025-05-14 15:10:00+05:30,24672.65,24675.2,24661.0,24669.55,0,24669.55,4.1839863870845875,61.08585450226399,24635.011000557206,24652.77371704473,0
2025-05-14 15:15:00+05:30,24669.55,24670.75,24651.3,24657.7,0,24657.7,5.305747910784703,56.704871694839845,24637.171857646994,24652.966904611603,1
2025-05-14 15:20:00+05:30,24658.15,24678.9,24657.55,24677.6,0,24677.6,7.71162092324812,61.67565717740584,24641.02215691871,24653.932908352326,1
2025-05-14 15:25:00+05:30,24678.35,24696.75,24678.35,24685.75,0,24685.75,10.158824896851002,63.522784712413355,24645.28195149788,24655.180637436548,0
2025-05-15 09:15:00+05:30,24694.45,24706.75,24605.2,24622.7,0,24622.7,6.930750233466824,45.323396782975436,24643.131289450463,24653.90688694884,0
2025-05-15 09:20:00+05:30,24620.0,24625.2,24584.65,24621.7,0,24621.7,4.242876919041009,45.102683116770756,24641.090214264706,24652.643871774377,0
2025-05-15 09:25:00+05:30,24619.5,24628.55,24601.15,24611.85,0,24611.85,1.3028864086627436,42.88726336874465,24638.305431953784,24651.04411209695,0
2025-05-15 09:30:00+05:30,24611.3,24626.15,24596.3,24596.3,0,24596.3,-2.2558285086852266,39.58183033262713,24634.304914624852,24648.89728417158,0
2025-05-15 09:35:00+05:30,24594.65,24594.65,24561.35,24564.05,0,24564.05,-7.590937591980037,33.768833386832654,24627.613970374867,24645.569939694265,0
2025-05-15 09:40:00+05:30,24564.55,24574.85,24538.2,24546.9,0,24546.9,-13.052451117728197,31.149034793987315,24619.92692557726,24641.700530294493,1
